Year Ended December 31,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
net operating revenues,37266.0,34300.0,35410.0,41863.0,44294.0,45998.0,46854.0,48017.0,46542.0,35119.0,30990.0
cost of goods sold,14619.0,13067.0,13256.0,16465.0,17482.0,17889.0,18421.0,19053.0,18216.0,12693.0,11088.0
gross profit,22647.0,21233.0,22154.0,25398.0,26812.0,28109.0,28433.0,28964.0,28326.0,22426.0,19902.0
gross profit margin,60.77,61.9,62.6,60.7,60.5,61.1,60.7,60.3,60.9,63.9,64.2
"selling, general and administrative expenses",12103.0,11002.0,12496.0,15262.0,16427.0,17218.0,17310.0,17738.0,17440.0,13158.0,11358.0
other operating charges,458.0,1079.0,2157.0,1510.0,1657.0,1183.0,895.0,447.0,732.0,819.0,313.0
operating income,10086.0,9152.0,7501.0,8626.0,8728.0,9708.0,10228.0,10779.0,10154.0,8449.0,8231.0
operating margin,27.06,26.68,21.2,20.6,19.7,21.1,21.8,22.4,21.8,24.1,26.6
interest income,563.0,689.0,677.0,642.0,613.0,594.0,534.0,471.0,483.0,317.0,249.0
interest expense,946.0,950.0,841.0,733.0,856.0,483.0,463.0,397.0,417.0,733.0,355.0
equity income (loss) — net,1049.0,1008.0,1071.0,835.0,489.0,769.0,602.0,819.0,690.0,1025.0,781.0
other income (loss) — net,34.0,-1674.0,-1666.0,1234.0,631.0,-1263.0,576.0,137.0,529.0,5185.0,40.0
income before income taxes,10786.0,8225.0,6742.0,8136.0,9605.0,9325.0,11477.0,11809.0,11439.0,14243.0,8946.0
income taxes,1801.0,1749.0,5560.0,1586.0,2239.0,2201.0,2851.0,2723.0,2805.0,2384.0,2040.0
effective tax rate,16.7,21.26,82.5,19.5,23.3,23.6,24.8,23.1,24.5,16.7,22.8
consolidated net income,8985.0,6476.0,1283.0,6550.0,7366.0,7124.0,8626.0,9086.0,8634.0,11859.0,6906.0
less: net income attributable to noncontrolling interests,65.0,42.0,35.0,23.0,15.0,26.0,42.0,67.0,62.0,50.0,82.0
net income attributable to shareowners of the coca-cola company,8920.0,6434.0,1248.0,6527.0,7351.0,,,,,,
basic net income per share1,2.09,1.51,0.29,1.51,1.69,1.62,1.94,2.0,3.75,5.12,2.95
diluted net income per share1,2.07,1.5,0.29,1.49,1.67,1.6,1.9,1.97,3.69,5.06,2.93
net income attributable to shareowners of the coca-cola company,,,,,,7098.0,8584.0,9019.0,8572.0,11809.0,6824.0
